"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,47,44,42,43,3,0,2013
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,54,50,50,50,2,1,2011
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,54,50,44,45,1,0,2008
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,52,48,50,50,0,0,2006
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,55,48,46,46,1,0,2009
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,56,51,50,49,1,0,2010
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,64,60,61,61,1,0,2007
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,63,55,55,59,4,0,2014
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,65,59,57,58,1,0,2015
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,87,85,85,85,2,0,2014
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,66,63,63,63,3,0,2012
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,97,86,86,86,5,0,2011
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,78,73,73,72,3,0,2007
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,80,78,78,78,1,0,2008
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,32,30,30,31,0,0,2004
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,60,58,59,58,1,0,2006
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,85,76,76,76,5,0,2009
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,77,71,71,72,2,0,2005
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,86,83,83,83,2,0,2013
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,95,81,81,80,6,0,2010
"PUBLIC","YUBA","RIO DEL ORO ELEMENTARY",107375,94,92,92,93,1,0,2015
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,72,70,69,70,0,0,2006
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,59,57,57,59,0,0,2007
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,64,63,61,63,0,0,2010
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,59,57,57,59,0,0,2008
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,81,80,80,81,0,0,2012
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,59,59,58,59,0,0,2009
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,92,91,90,90,0,1,2013
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,92,91,91,91,1,0,2011
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,87,84,84,84,1,0,2014
"PUBLIC","MONTEREY","NEW REPUBLIC ELEMENTARY",107391,107,106,106,106,1,0,2015
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,71,70,70,70,0,1,2015
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,60,60,60,60,0,0,2011
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,90,84,80,82,0,0,2009
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,89,88,89,88,0,0,2012
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,73,73,73,73,0,0,2010
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,60,60,60,60,0,0,2013
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,68,68,68,68,0,0,2006
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,79,78,77,77,0,0,2005
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,85,84,84,85,0,0,2014
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,72,72,72,72,0,0,2008
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,56,55,54,56,0,0,2004
"PUBLIC","FRESNO","S BEN BENAVIDEZ ELEME",107409,67,67,65,66,0,0,2007
"PUBLIC","SAN BERNARDINO","GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDL",107425,87,85,83,85,2,0,2013
"PUBLIC","SAN BERNARDINO","GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDL",107425,80,79,78,79,0,0,2014
"PUBLIC","SAN BERNARDINO","GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDL",107425,99,96,89,91,2,0,2012
"PUBLIC","SAN BERNARDINO","GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDL",107425,108,107,107,107,1,0,2015
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,100,99,99,99,1,0,2007
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,93,87,87,86,2,0,2005
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,97,76,88,89,0,0,2011
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,96,87,88,91,3,0,2012
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,82,70,73,72,1,0,2013
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,69,65,65,65,1,0,2004
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,75,73,71,72,0,0,2008
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,93,85,85,86,2,0,2015
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,85,83,75,74,0,0,2009
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,97,87,87,90,2,0,2014
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,103,89,102,94,0,0,2006
"PUBLIC","SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441,87,71,80,81,2,0,2010
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,86,80,79,79,0,0,2009
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,95,91,94,94,1,0,2010
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,90,87,87,87,0,0,2014
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,108,104,103,103,2,0,2013
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,84,75,79,72,0,0,2012
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,96,96,96,96,0,0,2005
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,82,80,82,82,0,0,2011
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,96,88,89,89,1,0,2004
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,103,91,102,91,1,0,2008
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,104,102,100,102,0,0,2007
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,110,100,99,100,1,1,2006
"PUBLIC","LOS ANGELES","CHAVEZ ELEMENTARY",107458,88,83,83,84,0,0,2015
"PUBLIC","FRESNO","ACADEMY FOR NEW AMERI",107532,45,44,15,29,0,0,2005
"PUBLIC","FRESNO","ACADEMY FOR NEW AMERI",107532,17,17,17,17,0,0,2006
"PUBLIC","FRESNO","ACADEMY FOR NEW AMERI",107532,10,10,10,10,0,0,2007
"PUBLIC","FRESNO","ACADEMY FOR NEW AMERI",107532,14,14,0,0,0,0,2004
"PUBLIC","SAN DIEGO","THE NEW SCHOOL",107540,14,13,12,12,1,0,2006
"PUBLIC","SAN MATEO","CALIFORNIA VIRTUAL AC",107565,43,30,31,31,1,0,2006
"PUBLIC","SAN MATEO","CALIFORNIA VIRTUAL AC",107565,50,32,31,31,18,0,2008
"PUBLIC","SAN MATEO","CALIFORNIA VIRTUAL AC",107565,33,28,28,27,1,0,2007
"PUBLIC","RIVERSIDE","FAMILY TREE LEARNING",107631,12,12,12,12,0,0,2006
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,27,24,24,24,0,0,2007
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,25,16,16,16,0,0,2011
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,20,20,20,20,0,0,2010
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,26,25,25,25,1,0,2009
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,22,21,21,21,0,0,2008
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,24,22,21,22,0,0,2012
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,19,15,14,15,0,0,2013
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,19,15,15,15,0,0,2014
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,32,19,19,21,0,0,2005
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,25,25,24,24,0,0,2006
"PUBLIC","SAN BERNARDINO","ASA CHARTER SCHOOL",107730,24,20,20,20,0,0,2015
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,40,40,37,40,0,0,2012
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,40,40,40,40,0,0,2007
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,42,42,42,42,0,0,2013
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,42,41,40,41,0,0,2014
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,40,39,40,40,0,0,2008
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,40,39,38,39,0,0,2009
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,38,29,32,31,0,0,2010
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,41,41,41,41,0,0,2006
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,46,44,44,44,0,0,2015
"PUBLIC","SANTA CLARA","LEARNING IN AN URBAN",107748,40,36,36,35,0,0,2011
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,129,127,127,127,2,0,2011
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,117,115,114,115,0,0,2009
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,115,115,115,115,0,0,2010
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,136,134,134,134,1,0,2013
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,142,142,140,142,0,0,2014
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,111,109,111,111,0,0,2008
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,100,97,99,98,0,0,2005
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,111,107,106,106,2,0,2012
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,131,128,127,129,1,0,2015
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,89,87,86,88,0,0,2006
"PUBLIC","KERN","SEQUOIA ELEMENTARY",107771,99,95,93,95,0,0,2007
"PUBLIC","SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805,111,108,108,108,3,0,2014
"PUBLIC","SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805,117,114,113,114,3,0,2011
"PUBLIC","SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805,126,126,126,126,0,0,2012
"PUBLIC","SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805,116,116,115,116,0,0,2015
"PUBLIC","SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805,77,74,74,74,3,0,2008
"PUBLIC","SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805,102,98,97,97,4,0,2009
"PUBLIC","SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805,127,121,121,121,5,0,2013
"PUBLIC","SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805,118,115,115,115,2,0,2010
"PUBLIC","ALAMEDA","LIVERMORE VALLEY CHARTER",107839,100,98,97,97,0,1,2010
"PUBLIC","ALAMEDA","LIVERMORE VALLEY CHARTER",107839,100,98,98,98,2,0,2005
"PUBLIC","ALAMEDA","LIVERMORE VALLEY CHARTER",107839,100,98,98,98,2,0,2008
"PUBLIC","ALAMEDA","LIVERMORE VALLEY CHARTER",107839,100,98,98,98,2,0,2009
"PUBLIC","ALAMEDA","LIVERMORE VALLEY CHARTER",107839,120,114,114,114,6,0,2014
"PUBLIC","ALAMEDA","LIVERMORE VALLEY CHARTER",107839,100,95,95,95,2,0,2011
"PUBLIC","ALAMEDA","LIVERMORE VALLEY CHARTER",107839,120,115,112,114,5,0,2012
"PUBLIC","ALAMEDA","LIVERMORE VALLEY CHARTER",107839,144,130,131,130,6,0,2015
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,96,80,80,80,16,0,2012
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,99,91,91,91,8,0,2008
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,109,105,101,102,2,1,2005
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,121,109,109,109,9,3,2015
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,104,96,96,96,8,0,2010
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,116,108,108,110,6,0,2006
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,122,101,101,101,21,0,2013
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,129,125,127,126,2,0,2014
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,126,118,118,118,8,0,2009
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,108,101,100,101,7,0,2007
"PUBLIC","SAN DIEGO","REIDY CREEK",107862,112,102,103,103,9,0,2011
"PUBLIC","SAN DIEGO","BERNARDO",107870,83,73,72,72,4,1,2013
"PUBLIC","SAN DIEGO","BERNARDO",107870,101,94,94,94,2,0,2014
"PUBLIC","SAN DIEGO","BERNARDO",107870,89,79,79,79,3,5,2009
"PUBLIC","SAN DIEGO","BERNARDO",107870,90,86,86,87,3,0,2007
"PUBLIC","SAN DIEGO","BERNARDO",107870,95,92,91,91,3,0,2015
"PUBLIC","SAN DIEGO","BERNARDO",107870,84,71,73,74,0,4,2011
"PUBLIC","SAN DIEGO","BERNARDO",107870,78,73,73,73,3,1,2005
"PUBLIC","SAN DIEGO","BERNARDO",107870,100,87,87,87,9,2,2006
"PUBLIC","SAN DIEGO","BERNARDO",107870,83,77,77,77,6,0,2010
"PUBLIC","SAN DIEGO","BERNARDO",107870,102,97,96,96,1,3,2008
"PUBLIC","SAN DIEGO","BERNARDO",107870,79,69,68,68,1,1,2012
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,80,77,76,74,1,2,2007
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,87,84,86,86,1,0,2005
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,76,76,73,75,0,0,2006
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,64,64,64,64,0,0,2009
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,97,94,93,95,2,0,2014
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,89,88,88,89,0,0,2013
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,102,98,99,99,2,0,2012
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,84,83,83,84,0,0,2011
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,66,64,63,63,2,0,2010
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,75,67,66,66,0,6,2008
"PUBLIC","SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888,100,98,98,98,2,0,2015
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,100,95,95,100,0,0,2015
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,107,91,77,72,0,0,2006
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,98,94,92,95,0,0,2008
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,115,102,100,99,0,0,2007
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,87,80,80,80,0,0,2014
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,119,113,114,112,0,0,2010
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,126,114,107,112,0,0,2005
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,95,81,81,81,1,0,2012
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,95,93,91,93,0,0,2011
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,72,70,69,69,0,0,2009
"PUBLIC","LOS ANGELES","HELEN KELLER ELEMENTARY",107912,95,83,82,78,0,0,2013
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,36,29,29,29,1,0,2005
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,77,77,77,77,0,0,2015
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,39,33,35,33,0,0,2008
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,50,49,49,49,1,0,2013
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,51,50,47,47,0,0,2014
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,49,48,49,45,0,0,2011
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,43,42,41,41,0,0,2012
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,41,30,39,39,0,0,2007
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,43,40,37,37,0,0,2010
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,58,50,50,50,0,0,2006
"PUBLIC","MADERA","EZEQUIEL TAFOYA ALVAR",107938,43,40,39,40,0,0,2009
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,82,78,78,78,4,0,2014
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,81,81,81,81,0,0,2009
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,67,63,64,63,1,0,2008
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,66,64,64,64,2,0,2010
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,80,76,76,76,2,0,2013
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,81,77,77,77,4,0,2012
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,76,74,74,74,0,0,2006
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,87,83,83,83,4,0,2015
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,59,56,57,58,0,0,2007
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,61,60,57,58,1,0,2011
"PUBLIC","SACRAMENTO","LAKE CANYON ELEMENTARY",107946,61,56,57,55,1,0,2005
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,85,84,84,84,1,0,2008
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,87,85,85,85,2,0,2014
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,84,80,81,82,0,0,2009
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,80,77,77,77,3,0,2013
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,101,101,100,100,0,0,2007
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,114,112,113,112,1,0,2006
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,100,98,98,99,1,0,2011
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,94,94,94,93,0,0,2010
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,89,85,84,85,2,1,2012
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,103,96,97,100,1,0,2005
"PUBLIC","RIVERSIDE","BENJAMIN FRANKLIN ELE",107961,80,78,77,77,1,0,2015
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,108,107,107,107,0,0,2015
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,105,103,103,103,2,0,2014
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,100,98,98,98,2,0,2006
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,101,100,100,100,0,0,2005
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,98,98,98,98,0,0,2008
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,104,101,101,101,2,1,2007
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,108,105,106,106,2,0,2012
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,89,88,87,88,1,0,2011
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,86,85,85,85,0,1,2010
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,106,104,103,104,1,1,2009
"PUBLIC","STANISLAUS","SIERRA VIEW ELEMENTAR",107979,105,103,103,103,1,1,2013
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,124,105,105,103,0,2,2010
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,98,91,92,92,0,0,2006
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,98,74,67,70,0,0,2008
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,52,50,46,47,0,0,2005
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,126,108,108,108,1,0,2009
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,103,103,102,103,0,0,2011
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,108,101,98,100,0,1,2012
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,119,119,84,93,0,0,2007
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,125,106,106,110,1,0,2014
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,121,119,119,120,0,0,2015
"PUBLIC","CONTRA COSTA","MARSH CREEK ELEMENTARY",108019,128,120,119,122,3,0,2013
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,59,55,53,53,4,0,2011
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,64,60,59,59,3,0,2010
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,91,89,87,87,2,0,2005
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,66,66,64,64,0,0,2008
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,68,60,61,60,3,1,2015
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,88,83,82,81,4,0,2006
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,95,88,87,88,7,0,2012
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,67,61,60,58,5,0,2009
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,79,72,72,72,4,0,2007
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,76,72,71,71,4,0,2013
"PUBLIC","LOS ANGELES","OAK HILLS ELEMENTARY",108027,80,73,73,74,3,0,2014
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,66,63,63,63,3,0,2009
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,56,53,53,53,3,0,2012
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,60,59,59,59,1,0,2006
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,26,25,25,25,1,0,2013
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,40,37,37,37,3,0,2007
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,30,25,25,25,5,0,2011
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,26,25,25,25,1,0,2014
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,44,40,40,40,4,0,2010
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,40,37,37,37,3,0,2008
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,47,44,44,44,3,0,2005
"PUBLIC","SAN JOAQUIN","PARK VIEW ELEMENTARY",108035,43,40,40,40,3,0,2015
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,43,39,39,40,2,0,2015
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,73,66,67,66,2,0,2006
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,74,65,65,67,1,0,2008
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,78,70,70,70,4,0,2011
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,65,58,58,60,4,0,2009
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,58,48,48,49,2,0,2010
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,62,53,53,51,3,0,2012
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,60,59,59,59,1,0,2007
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,37,36,36,36,1,0,2014
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,48,34,34,35,5,0,2013
"PUBLIC","PLACER","RUHKALA ELEMENTARY",108050,51,47,46,45,0,0,2005
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,95,81,78,78,1,0,2008
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,128,120,119,119,0,0,2013
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,126,108,103,106,0,0,2011
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,128,105,105,105,0,0,2009
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,111,106,106,106,0,0,2005
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,108,97,96,98,0,0,2007
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,108,96,92,92,0,0,2012
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,109,98,97,99,0,0,2006
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,91,86,85,86,0,1,2014
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,125,106,105,103,0,0,2010
"PUBLIC","MONTEREY","BORONDA MEADOWS",108068,108,102,94,103,0,0,2015
"PUBLIC","FRESNO","MOLLY S BAKMAN ELEMENTARY",108100,124,121,121,121,1,0,2013
"PUBLIC","FRESNO","MOLLY S BAKMAN ELEMENTARY",108100,137,133,131,132,0,0,2014
"PUBLIC","FRESNO","MOLLY S BAKMAN ELEMENTARY",108100,148,140,141,142,0,0,2015
